,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,90.77375079999999,2022-06-25 19:06:44.896786,2022-06-25 19:45:04.184488,0 days 00:38:19.287702,relu,128,0.2,2.0872677006876618e-08,0.9,0.95,0.023149108111006404,0.8,5,256,small,0.6326457008231696,70.9237526,90.77375079999999,,PRUNED
1,1,,2022-06-25 19:06:44.902199,2022-06-25 19:11:19.362629,0 days 00:04:34.460430,relu,8,0.4,3.419837706190202e-06,0.98,0.98,0.6235431820972046,5.0,1,128,medium,0.2660202465417606,,,,PRUNED
2,2,,2022-06-25 19:06:44.902779,2022-06-25 19:08:03.652529,0 days 00:01:18.749750,relu,16,0.4,4.561742609439629e-06,0.98,0.9999,0.5547968895001997,0.5,10,64,medium,0.4470175014994655,,,,PRUNED
3,3,408.97793859999996,2022-06-25 19:06:44.908967,2022-06-25 20:34:40.469858,0 days 01:27:55.560891,relu,32,0.4,6.617267658606467e-05,0.98,0.9,4.16063224638158e-05,0.7,10,512,medium,0.31891449079899326,310.2933296,408.97793859999996,,PRUNED
4,4,312.22998040000004,2022-06-25 19:08:03.653355,2022-06-25 21:31:25.275224,0 days 02:23:21.621869,tanh,512,0.4,0.00011040674836880027,1.0,0.9,1.841645507088866e-05,2.0,10,1024,medium,0.269032939640485,100.1033328,513.047828,368.405882,COMPLETE
5,5,89.61772579999999,2022-06-25 19:11:19.363363,2022-06-25 19:33:07.692389,0 days 00:21:48.329026,tanh,64,0.1,0.0002952324511317506,0.98,0.995,0.16810004344097637,0.9,20,256,small,0.5801601374202083,89.61772579999999,,,PRUNED
6,6,-6.650815199999999,2022-06-25 19:33:07.693111,2022-06-25 19:44:52.950332,0 days 00:11:45.257221,tanh,16,0.4,1.2229360523092699e-05,0.98,0.95,0.023649886307658897,0.9,1,32,medium,0.8001481163306259,-6.650815199999999,,,PRUNED
7,7,-11.581378599999999,2022-06-25 19:44:52.951245,2022-06-25 19:54:23.561503,0 days 00:09:30.610258,tanh,64,0.4,7.419281888180092e-05,0.92,0.99,0.7908528181200748,1.0,1,1024,medium,0.2272548647043814,-11.581378599999999,,,PRUNED
8,8,-5.427521400000001,2022-06-25 19:45:04.185101,2022-06-25 19:55:45.741073,0 days 00:10:41.555972,tanh,256,0.4,3.526817418617051e-05,0.8,0.99,0.03469017551645701,2.0,10,256,medium,0.6230457550680665,-5.427521400000001,,,PRUNED
9,9,351.1513824,2022-06-25 19:54:23.562059,2022-06-25 20:48:32.878197,0 days 00:54:09.316138,relu,64,0.1,0.002851334823663829,0.98,0.98,0.0029556689821388115,1.0,10,512,medium,0.7343973747153199,395.01542600000005,351.1513824,,PRUNED
